requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"1000","486","137","78842","57034","62450","65063","44395","20100",
"1000","487","137","78831","57034","62367","65091","44395","20200",
"1000","488","137","78832","57034","62286","65120","44395","20300",
"1000","489","137","78839","57034","62208","65148","44395","20400",
"1000","490","137","78847","57034","62133","65176","44395","20500",
"1000","491","137","78849","57034","62059","65203","44395","20600",
"1000","492","137","78849","57034","61988","65231","44395","20700",
"1000","493","137","78850","57034","61919","65259","44395","20800",
"1000","494","137","78845","57034","61853","65286","44395","20900",
"1000","495","137","78853","57034","61788","65314","44395","21000",
"1000","496","137","78846","57034","61726","65341","44395","21100",
"1000","497","137","78856","57034","61665","65368","44395","21200",
"1000","498","137","78848","57034","61607","65395","44395","21300",
"1000","499","137","78859","57034","61551","65422","44395","21400",
"1000","500","137","78852","57034","61496","65449","44395","21500",
"1000","501","137","78859","57034","61444","65476","44395","21600",
"1000","502","137","78865","57034","61393","65503","44395","21700",
"1000","503","137","78859","57034","61344","65529","44395","21800",
"1000","504","138","79063","57041","61297","65556","44487","21900",
"1000","505","138","79071","57041","61252","65583","44487","22000",
"1000","506","139","80013","56414","61189","65611","44573","22100",
"1000","507","139","80008","56414","61128","65640","44573","22200",
"1000","508","139","80008","56414","61069","65668","44573","22300",
"1000","509","139","80017","56414","61011","65696","44573","22400",
"1000","510","139","80012","56414","60956","65724","44573","22500",
"1000","511","139","80020","56414","60903","65752","44573","22600",
"1000","512","139","80012","56414","60851","65780","44573","22700",
"1000","513","139","80012","56414","60801","65808","44573","22800",
"1000","514","139","80013","56414","60753","65835","44573","22900",
"1000","515","139","80021","56414","60707","65863","44573","23000",
"1000","516","139","80013","56414","60663","65890","44573","23100",
"1000","517","139","80016","56414","60620","65918","44573","23200",
"1000","518","139","80024","56414","60579","65945","44573","23300",
"1000","519","139","80026","56414","60539","65972","44573","23400",
"1000","520","139","80022","56414","60501","65999","44573","23500",
"1000","521","139","80035","56414","60464","66026","44573","23600",
"1000","522","140","80482","56746","60439","66054","44660","23700",
"1000","523","141","80950","55951","60391","66082","44740","23800",
"1000","524","141","80939","55951","60345","66110","44740","23900",
"1000","525","141","80946","55951","60301","66139","44740","24000",
"1000","526","141","80943","55951","60258","66167","44740","24100",
"1000","527","141","80944","55951","60217","66195","44740","24200",
